Title,belongs_to_collection,genres,original_lang,overview,popularity,production_countries,release_date,runtime,spoken langs,tagline,vote_average,vote_count
"tf.Tensor([[ 1179 10768     7     1]], shape=(1, 4), dtype=int32)",0,"tf.Tensor(
[[784   3  31 454   3  32   3  52   3  52   3  32   3  52   3  31   3   6
    3  31 332   3 107   3  52   3  23   3  40   3  40   3  15   3  52   3
   31   3   6   3  31 283   3  63   3   7   3  17   3  15   3  52   3  63
    3  31   3 908   1]], shape=(1, 59), dtype=int32)","tf.Tensor([[ 3 35  1]], shape=(1, 3), dtype=int32)","tf.Tensor(
[[  282   874   365  7276     3    88  2960    15     7  8955    16    21
     46    66   706  1049    44    46 13876 11625    11  1798   814  3100
      6     3     9   939    13 21840    11    73 19691     3 16526     7
   1224   991   135    12   857    79    33    59  2238     5    94    47
   5741    12    36     3     9   650   706    13  1871     7    23  6031
      3     9   712  2290   545     6    68   116     3     9   939    13
   2302  1553    12  2385    30     8  4205   378  1116   808     3     9
   2164   919     5 10511     6   227     8  2290   545  6754     7     6
      8   399  9247    15    26     3    17 31081    59   163   669    24
    132    19     3     9     3  1795    16     8 13799     6    68    92
   2928     8    73 19691  1405    13     8  4852    24   130  2538    16
      8 11625     5   852     6    38 17187  1217  1520     6     8 31219
     33    81    12  2928    24    79    33   271 24161    15    26    45
      8  8552     7    11    24    70 11007    13   840    12   217   239
  14577    33 18508    53    28   284  5792  1962     5 24965   324    57
   9637  4675   152   152     6   432 10743  4637     1]], shape=(1, 189), dtype=int32)",0.0,"tf.Tensor(
[[784   3  31 412   3  29   3  23   3  17   3  15   3  26 180   3  17   3
    9   3  17   3  15   3   7   3  32   3  89  71   3  51   3  15   3  52
    3  23   3  75   3   9   3  31   3 908   1]], shape=(1, 47), dtype=int32)",2008,92.0,"tf.Tensor(
[[784   3  31 262   3  29   3 122   3  40   3  23   3   7   3 107   3  31
    3 908   1]], shape=(1, 21), dtype=int32)","tf.Tensor(
[[ 2940  1342   130     3     7    29 27829    91     5     3     5     3
      5   230    79    31    60   223    21     3  1926   397   663    55
      1]], shape=(1, 25), dtype=int32)",6.434999942779541,23.0
"tf.Tensor([[  3   4  18 329  35   1]], shape=(1, 6), dtype=int32)",1,"tf.Tensor(
[[784   3  31  71   3  75   3  17   3  23   3  32   3  29   3  31   3   6
    3  31  71   3  26   3 208   3  15   3  29   3  17   3  76   3  52   3
   15   3  31   3   6   3  31 180   3  75   3  23   3  15   3  29   3  75
    3  15 377   3  23   3  75   3  17   3  23   3  32   3  29   3  31   3
    6   3  31 377   3   9   3  29   3  17   3   9   3   7   3  63   3  31
    3 908   1]], shape=(1, 93), dtype=int32)","tf.Tensor([[ 3 35  1]], shape=(1, 3), dtype=int32)","tf.Tensor(
[[  621     8     3    60    18 25120    13     8   296    31     7   166
  26569     6   296    18   221  6626  7975    71 10496     9   120   102
      7    15     6     8     3     4    18   329    35   398  1745    15
     12  9589   112     3 29570   593   515     5     1]], shape=(1, 45), dtype=int32)",38.641998291015625,"tf.Tensor(
[[784   3  31 412   3  29   3  23   3  17   3  15   3  26 180   3  17   3
    9   3  17   3  15   3   7   3  32   3  89  71   3  51   3  15   3  52
    3  23   3  75   3   9   3  31   3 908   1]], shape=(1, 47), dtype=int32)",2016,144.0,"tf.Tensor(
[[  784     3    31     3     2     3     2     3     2     3     2     3
      2     3     2     3     2     3    31     3     6     3    31   262
      3    29     3   122     3    40     3    23     3     7     3   107
      3    31     3     6     3    31   309     3    15     3    76     3
     17     3     7     3    75     3   107     3    31     3     6     3
     31   276     3    32     3    40     3     7     3   157     3    23
      3    31     3     6     3    31   276     3  3700 12681 12681     3
   6652     3  2795     3     2     3    31     3     6     3    31   480
      3    23     3     7     3   210     3     9     3   107     3    23
      3    40     3    23     3    31     3   908     1]], shape=(1, 117), dtype=int32)","tf.Tensor([[3462    8 1101   56 7905    5    1]], shape=(1, 7), dtype=int32)",6.513999938964844,11952.0
"tf.Tensor([[4765   29  138 8054 4288    1]], shape=(1, 6), dtype=int32)",0,"tf.Tensor(
[[784   3  31  71   3  75   3  17   3  23   3  32   3  29   3  31   3   6
    3  31 205   3  32   3  51   3  15   3  26   3  63   3  31   3   6   3
   31 377   3   9   3  29   3  17   3   9   3   7   3  63   3  31   3 908
    1]], shape=(1, 55), dtype=int32)","tf.Tensor([[ 3 51 40  1]], shape=(1, 4), dtype=int32)","tf.Tensor(
[[   71 13766 11391   534 11552   227   271 10056    57 21463    68   398
    240   323    46  7544  5575    15     3    99     3    88    19    12
    582     8 23586   112 22295    16 27046   523     5     1]], shape=(1, 34), dtype=int32)",14.677000045776367,"tf.Tensor([[784   3  31  27   3  29   3  26   3  23   3   9   3  31   3 908   1]], shape=(1, 17), dtype=int32)",2021,158.0,"tf.Tensor(
[[784   3  31 262   3  29   3 122   3  40   3  23   3   7   3 107   3  31
    3   6   3  31   3  31   3 908   1]], shape=(1, 27), dtype=int32)","tf.Tensor([[1]], shape=(1, 1), dtype=int32)",7.173999786376953,278.0
"tf.Tensor(
[[  480     2     3     2   157 16296 13824     2     3     2    17     9
     23     1]], shape=(1, 14), dtype=int32)",0,"tf.Tensor(
[[784   3  31  71   3  75   3  17   3  23   3  32   3  29   3  31   3   6
    3  31  71   3  26   3 208   3  15   3  29   3  17   3  76   3  52   3
   15   3  31   3   6   3  31  71   3  29   3  23   3  51   3   9   3  17
    3  23   3  32   3  29   3  31   3   6   3  31 205   3  52   3  23   3
   51   3  15   3  31   3   6   3  31 180   3  75   3  23   3  15   3  29
    3  75   3  15 377   3  23   3  75   3  17   3  23   3  32   3  29   3
   31   3   6   3  31 332   3 107   3  52   3  23   3  40   3  40   3  15
    3  52   3  31   3 908   1]], shape=(1, 133), dtype=int32)","tf.Tensor([[2662    1]], shape=(1, 2), dtype=int32)","tf.Tensor(
[[  389   926   733    16     8 17644    86    37 16040  7884   117    46
   1941    12     8  9118    13   271    16   430   296     6 13476    53
    647  2896    28   768     5    71  1150    13  7333   485    10  6679
  13908     5    96  3696   414     8   615    11  1822    82  2512     6
     27   398  9268    25    66 10011  3411     6   460  1828     5  3669
     65   118     3 22235    72    11    72  7313     5    96 18304    77
   9738  1707   121    24   656   487  1223  5992    12   251  5275  1009
      8  2241     6     8   748    13    96  1409     7 17194  5678   121
     24  1250  6917    12   483    70   643  1467   139  9738  1582  1950
   2102   117    16    48   296   213   224  4290 15895    43   582  1017
      6     3     9  6417    53  3211  5888    19  1622    12     8  4318
    789     5    37  2387    19    46  1038  1338     3  6475  9799    29
    155  5414    45     8  5750    13  3695 10241     5    37   495    19
      3    35  2666  6265    12     8  7849    13  1210 12078    31  2575
   3684  5568  5835  5568   668    31     7  2488     6     8   423    18
     75    63 23685 18668   157    32  3695     7   152  6623     6     3
  15222     7   160   372    11  7701   326    12  9684    11  6312     8
  10287     5     1]], shape=(1, 207), dtype=int32)",0.9829999804496764,"tf.Tensor([[784   3  31 446   3   9   3 102   3   9   3  29   3  31   3 908   1]], shape=(1, 17), dtype=int32)",2016,10.0,"tf.Tensor([[784   3  31   3   2   3   2   3   2   3  31   3 908   1]], shape=(1, 14), dtype=int32)","tf.Tensor([[7187    3    9  126 9118    5   37 9118   13 2852  841 1307    5    1]], shape=(1, 14), dtype=int32)",7.222000122070312,9.0
"tf.Tensor([[3570  668    1]], shape=(1, 3), dtype=int32)",0,"tf.Tensor(
[[784   3  31 180   3  75   3  23   3  15   3  29   3  75   3  15 377   3
   23   3  75   3  17   3  23   3  32   3  29   3  31   3 908   1]], shape=(1, 34), dtype=int32)","tf.Tensor([[ 3 35  1]], shape=(1, 3), dtype=int32)","tf.Tensor(
[[21564    17    63   203   977     6 12430     7  3658    30  4030     5
    933    12 24025    42   428  3052     6    68    12   253 14330    45
     70 13677  4345     5 22198    15    26    45  6917    16     3     9
   1013  3850   616   718  3570  9902     8 12430     7    33  3030    57
   4908    18 24732   907     6    84    19    73  1018    75 11965    26
     28     8 12430     7    31 13454    68    56   103   959    12  2325
     70  2496   748     5   366     3     9   349  1057  3102  8201     3
      9 15124  6722    24  4396    12  8310   112  6642     6   132    19
    163    80   286     3    88    54  7387    10  3570  5835     1]], shape=(1, 107), dtype=int32)",35.04199981689453,"tf.Tensor(
[[ 784    3   31  445    3   15    3  210 1027    3   15    3    9    3
    40    3    9    3   29    3   26    3   31    3    6    3   31  180
     3   32    3   76    3   17    3  107   71    3   89    3   52    3
    23    3   75    3    9    3   31    3    6    3   31  412    3   29
     3   23    3   17    3   15    3   26  180    3   17    3    9    3
    17    3   15    3    7    3   32    3   89   71    3   51    3   15
     3   52    3   23    3   75    3    9    3   31    3  908    1]], shape=(1, 97), dtype=int32)",2009,112.0,"tf.Tensor(
[[ 784    3   31   71    3   89    3   52    3   23    3  157    3    9
     3    9    3   29    3    7    3   31    3    6    3   31    3   31
     3    6    3   31    3   31    3    6    3   31    3   31    3    6
     3   31    3   23    3    7    3   23 1027    3   76    3   40    3
    76    3   31    3    6    3   31  262    3   29    3  122    3   40
     3   23    3    7    3  107    3   31    3  908    1]], shape=(1, 81), dtype=int32)","tf.Tensor([[ 148   33   59 2222  270    5    1]], shape=(1, 7), dtype=int32)",7.414000034332275,8481.0
"tf.Tensor([[   71  7938    52    60     6    74  1027   127    29 20149     1]], shape=(1, 11), dtype=int32)",0,"tf.Tensor(
[[784   3  31  71   3  26   3 208   3  15   3  29   3  17   3  76   3  52
    3  15   3  31   3   6   3  31 309   3  52   3   9   3  51   3   9   3
   31   3   6   3  31 454   3  23   3   7   3  17   3  32   3  52   3  63
    3  31   3 908   1]], shape=(1, 59), dtype=int32)","tf.Tensor([[20  1]], shape=(1, 2), dtype=int32)","tf.Tensor(
[[   71   360  4160   227     8 11203    13     8  1542     9 12187     6
      3     9  5093 21807  2237    57     8     3 25360    71  7938    52
     60  3231     8  8022    13 17665    11  1550   323     8  2536  2473
     16   960    13     8  1513   690    13  1289   531 19042     5   366
    248 10308  7931     6    71  7938    52    60    22     7  1076   456
     12  3337   823    70 13118    56   991   135    12 21571    42   824
   1687     5     1]], shape=(1, 75), dtype=int32)",15.288999557495115,"tf.Tensor(
[[784   3  31 350   3  15   3  52   3  51   3   9   3  29   3  63   3  31
    3   6   3  31 283   3  15   3 226   3  23   3  75   3  32   3  31   3
    6   3  31 276   3  15   3  52   3  76   3  31   3 908   1]], shape=(1, 51), dtype=int32)",1972,95.0,"tf.Tensor(
[[784   3  31 262   3   7   3 102   3   9   3   2   3  32   3  40   3  31
    3   6   3  31   3  31   3   6   3  31 309   3  15   3  76   3  17   3
    7   3  75   3 107   3  31   3 908   1]], shape=(1, 46), dtype=int32)","tf.Tensor([[   71 17593  2027   139     8   842    13 14882     5     1]], shape=(1, 10), dtype=int32)",7.525000095367432,924.0
"tf.Tensor([[   37  1571 12572     1]], shape=(1, 4), dtype=int32)",0,"tf.Tensor(
[[784   3  31 309   3  52   3   9   3  51   3   9   3  31   3   6   3  31
   71   3  26   3 208   3  15   3  29   3  17   3  76   3  52   3  15   3
   31   3   6   3  31 180   3  75   3  23   3  15   3  29   3  75   3  15
  377   3  23   3  75   3  17   3  23   3  32   3  29   3  31   3 908   1]], shape=(1, 72), dtype=int32)","tf.Tensor([[ 3 35  1]], shape=(1, 3), dtype=int32)","tf.Tensor(
[[    3  2092     3     9     3 28556  2253    12 11856     6 15001 15785
   2185  3129    17  3186    19 26451    26  3654   227     3     9 19894
   5536    11   646  1187    57   112  4627     5   299  3129    17  3186
     65 13928    11 12902  2448     3 12797    15    26    11  2238    30
      8 24550  4345     5   438   163   140  9754  4471     6     3    88
    398  3314  1286   112    16   729    76   485     6     3  7820    11
   3564    12   769     7   343    11   253     3     9   194    12  3240
     12  4030    24     3    88    19  7267     5     1]], shape=(1, 93), dtype=int32)",44.87099838256836,"tf.Tensor(
[[784   3  31 412   3  29   3  23   3  17   3  15   3  26 480   3  23   3
   29   3 122   3  26   3  32   3  51   3  31   3   6   3  31 412   3  29
    3  23   3  17   3  15   3  26 180   3  17   3   9   3  17   3  15   3
    7   3  32   3  89  71   3  51   3  15   3  52   3  23   3  75   3   9
    3  31   3 908   1]], shape=(1, 77), dtype=int32)",2015,141.0,"tf.Tensor(
[[784   3  31 262   3  29   3 122   3  40   3  23   3   7   3 107   3  31
    3   6   3  31   3   2   3   2   3   2   3  31   3 908   1]], shape=(1, 33), dtype=int32)","tf.Tensor([[10267  5918  1210     1]], shape=(1, 4), dtype=int32)",7.671999931335449,18104.0
"tf.Tensor([[   37 26876   904     1]], shape=(1, 4), dtype=int32)",0,"tf.Tensor(
[[784   3  31 205   3  32   3  51   3  15   3  26   3  63   3  31   3   6
    3  31 205   3  52   3  23   3  51   3  15   3  31   3   6   3  31  71
    3  75   3  17   3  23   3  32   3  29   3  31   3 908   1]], shape=(1, 51), dtype=int32)","tf.Tensor([[ 3 35  1]], shape=(1, 3), dtype=int32)","tf.Tensor(
[[  797  8116   144 26886 29300    65  1192     3     9  1385 13472 10434
  21039    16  1524     5   366  1448  2347    91    24     3    88    22
      7   479    12  1723    91    13     8   268  6276    34  7294     7
   5944     7     6 15171     6     3  2160  1152    63    11  1001  1963
     16    46  3332    12 11332   112  3303    91    45   365   376     5
      1]], shape=(1, 61), dtype=int32)",32.29800033569336,"tf.Tensor(
[[784   3  31 412   3  29   3  23   3  17   3  15   3  26 180   3  17   3
    9   3  17   3  15   3   7   3  32   3  89  71   3  51   3  15   3  52
    3  23   3  75   3   9   3  31   3   6   3  31 412   3  29   3  23   3
   17   3  15   3  26 480   3  23   3  29   3 122   3  26   3  32   3  51
    3  31   3 908   1]], shape=(1, 77), dtype=int32)",2020,113.0,"tf.Tensor(
[[784   3  31 262   3  29   3 122   3  40   3  23   3   7   3 107   3  31
    3 908   1]], shape=(1, 21), dtype=int32)","tf.Tensor([[20383     5  4501     5     1]], shape=(1, 5), dtype=int32)",7.684000015258789,4846.0
"tf.Tensor([[20644    10 23709    13     8  3657   288     9     7    51     1]], shape=(1, 11), dtype=int32)",1,"tf.Tensor(
[[784   3  31  71   3  75   3  17   3  23   3  32   3  29   3  31   3   6
    3  31  71   3  29   3  23   3  51   3   9   3  17   3  23   3  32   3
   29   3  31   3   6   3  31 205   3  52   3  23   3  51   3  15   3  31
    3   6   3  31 283   3  63   3   7   3  17   3  15   3  52   3  63   3
   31   3 908   1]], shape=(1, 76), dtype=int32)","tf.Tensor([[ 3 35  1]], shape=(1, 3), dtype=int32)","tf.Tensor(
[[  366     3     9  2021  4336     6   113    19  2895    12 13800 14914
     31     7  1215    18 18722 15504     6  9100     7     8  7597 11595
     21  9357     3     9  5447     3   322    26     6 20644  2204     7
     12  2870   581   376     5     1]], shape=(1, 42), dtype=int32)",15.166000366210938,"tf.Tensor(
[[784   3  31 412   3  29   3  23   3  17   3  15   3  26 180   3  17   3
    9   3  17   3  15   3   7   3  32   3  89  71   3  51   3  15   3  52
    3  23   3  75   3   9   3  31   3 908   1]], shape=(1, 47), dtype=int32)",1993,76.0,"tf.Tensor(
[[784   3  31 262   3  29   3 122   3  40   3  23   3   7   3 107   3  31
    3 908   1]], shape=(1, 21), dtype=int32)","tf.Tensor(
[[   37  7597 11595  2870     7    12  1097 13031  1483   690    45   165
   3654 23217 10101     5     1]], shape=(1, 17), dtype=int32)",7.5,919.0
"tf.Tensor([[   37 15615 26846     1]], shape=(1, 4), dtype=int32)",0,"tf.Tensor(
[[784   3  31  71   3  26   3 208   3  15   3  29   3  17   3  76   3  52
    3  15   3  31   3   6   3  31 377   3   9   3  51   3  23   3  40   3
   63   3  31   3   6   3  31 377   3   9   3  29   3  17   3   9   3   7
    3  63   3  31   3   6   3  31 205   3  32   3  51   3  15   3  26   3
   63   3  31   3   6   3  31 391   3  32   3  51   3   9   3  29   3  75
    3  15   3  31   3 908   1]], shape=(1, 97), dtype=int32)","tf.Tensor([[ 3 35  1]], shape=(1, 3), dtype=int32)","tf.Tensor(
[[   86    48     3 30112   120 21185 19270  5221     6     8   786 15615
  14698  4658    11     8   836  9525  1244  1306   398  8269 28254 11007
     12   253  8800 18905  1296    18    89    53  3737 16600     7   904
      6  7738  1162 22277     7     6 29250  7137    11  6102   295     7
     13  7225   812     5   299   237  1687    54    31    17  1190   175
   1176   333  9414     7    45 20020    53     5     1]], shape=(1, 69), dtype=int32)",21.804000854492188,"tf.Tensor(
[[784   3  31 412   3  29   3  23   3  17   3  15   3  26 180   3  17   3
    9   3  17   3  15   3   7   3  32   3  89  71   3  51   3  15   3  52
    3  23   3  75   3   9   3  31   3 908   1]], shape=(1, 47), dtype=int32)",1987,99.0,"tf.Tensor(
[[784   3  31 262   3  29   3 122   3  40   3  23   3   7   3 107   3  31
    3 908   1]], shape=(1, 21), dtype=int32)","tf.Tensor([[  94   31    7   38  490   38    8 6382   25  473    5    1]], shape=(1, 12), dtype=int32)",7.660999774932861,4031.0
"tf.Tensor([[  37 9091   13 3556 1887    1]], shape=(1, 6), dtype=int32)",0,"tf.Tensor(
[[784   3  31 205   3  52   3  23   3  51   3  15   3  31   3   6   3  31
  309   3  52   3   9   3  51   3   9   3  31   3   6   3  31 205   3  32
    3  51   3  15   3  26   3  63   3  31   3 908   1]], shape=(1, 49), dtype=int32)","tf.Tensor([[ 3 35  1]], shape=(1, 3), dtype=int32)","tf.Tensor(
[[   71   368  1060  1519  5702  2304  9460     7    12 23109    16     3
      9   508 16944  7712   495     3  6475 13100    30  3556  1887     6
   2849  8175   296    11  2288   115    16 18974     5  6719    30  8480
   5622  1161    17    31     7  1510  6420 16369     5     1]], shape=(1, 46), dtype=int32)",155.11599731445312,"tf.Tensor(
[[784   3  31 412   3  29   3  23   3  17   3  15   3  26 180   3  17   3
    9   3  17   3  15   3   7   3  32   3  89  71   3  51   3  15   3  52
    3  23   3  75   3   9   3  31   3 908   1]], shape=(1, 47), dtype=int32)",2013,180.0,"tf.Tensor(
[[ 784    3   31  262    3   29    3  122    3   40    3   23    3    7
     3  107    3   31    3    6    3   31  377    3   52    3    9    3
    29    3 8970    3    9    3   23    3    7    3   31    3  908    1]], shape=(1, 42), dtype=int32)","tf.Tensor([[  262 24947     5  6760 14920     5     3 19846   476     5     1]], shape=(1, 11), dtype=int32)",8.03600025177002,21531.0
"tf.Tensor([[  86    8 7862   13    8 5190    1]], shape=(1, 7), dtype=int32)",1,"tf.Tensor(
[[784   3  31 205   3  52   3  23   3  51   3  15   3  31   3   6   3  31
  309   3  52   3   9   3  51   3   9   3  31   3   6   3  31 283   3  63
    3   7   3  17   3  15   3  52   3  63   3  31   3   6   3  31 332   3
  107   3  52   3  23   3  40   3  40   3  15   3  52   3  31   3 908   1]], shape=(1, 72), dtype=int32)","tf.Tensor([[ 3 35  1]], shape=(1, 3), dtype=int32)","tf.Tensor(
[[ 3850    18  8778  9511  2095 23959     3 21031   122   173  2262   115
    115     7    19 10195    30 23373    13  7738    57  3259   350 11348
   8082     6     8 23713  2095  5752    13  5103 13063    17     9     6
  14579     5   621  2262   115   115     7  4410     7    59   163   112
    293 30550    68    24    13   430   388     6     3    88  1715     7
   3859    28   350 11348  8082    12  1463   323     8   490 14804     5
   2940  4962  1217   135   190   334   569   593    13     8  1511     6
     28  2262   115   115     7   492 14645    38   168    38  9909   803
     38     3    88  8069     7    21     8  2827     5     1]], shape=(1, 106), dtype=int32)",15.51200008392334,"tf.Tensor(
[[784   3  31 412   3  29   3  23   3  17   3  15   3  26 180   3  17   3
    9   3  17   3  15   3   7   3  32   3  89  71   3  51   3  15   3  52
    3  23   3  75   3   9   3  31   3 908   1]], shape=(1, 47), dtype=int32)",1967,109.0,"tf.Tensor(
[[784   3  31 262   3  29   3 122   3  40   3  23   3   7   3 107   3  31
    3 908   1]], shape=(1, 21), dtype=int32)","tf.Tensor(
[[ 328  530    3    9 7738   30   70 1780    5  328  278   22   17  214
   125   12  103   28   34    5    1]], shape=(1, 21), dtype=int32)",7.685999870300293,870.0
"tf.Tensor([[ 4043  9276 24412     1]], shape=(1, 4), dtype=int32)",0,"tf.Tensor(
[[784   3  31 309   3  52   3   9   3  51   3   9   3  31   3   6   3  31
  549   3   9   3  52   3  31   3 908   1]], shape=(1, 28), dtype=int32)","tf.Tensor([[ 3 35  1]], shape=(1, 3), dtype=int32)","tf.Tensor(
[[   71 29810   412     5   134     5  7899  7743     7     8    20 12450
   2610  1951     8   412     5   134     5    18   553    23    15    17
  13363  1602    65    30   112  4999 11474     7    45    70 14506  7378
   2856   761    12     8  1717    63  2815  6237    16  3455    15     5
      1]], shape=(1, 49), dtype=int32)",28.517000198364254,"tf.Tensor(
[[784   3  31 412   3  29   3  23   3  17   3  15   3  26 480   3  23   3
   29   3 122   3  26   3  32   3  51   3  31   3   6   3  31 412   3  29
    3  23   3  17   3  15   3  26 180   3  17   3   9   3  17   3  15   3
    7   3  32   3  89  71   3  51   3  15   3  52   3  23   3  75   3   9
    3  31   3 908   1]], shape=(1, 77), dtype=int32)",1987,117.0,"tf.Tensor(
[[784   3  31 262   3  29   3 122   3  40   3  23   3   7   3 107   3  31
    3   6   3  31 332   3  23   3   2   3  29   3 122 584   3  23   3   2
    3  17   3  31   3 908   1]], shape=(1, 43), dtype=int32)","tf.Tensor(
[[8940   54 5781  140    6   68   34   54   22   17  143  140  124    5
     1]], shape=(1, 15), dtype=int32)",8.140000343322754,9369.0
"tf.Tensor([[   86   900  1938    13     8  8501   180    29 14547   277     1]], shape=(1, 11), dtype=int32)",0,"tf.Tensor(
[[784   3  31 454   3  32   3  52   3  52   3  32   3  52   3  31   3   6
    3  31 180   3  75   3  23   3  15   3  29   3  75   3  15 377   3  23
    3  75   3  17   3  23   3  32   3  29   3  31   3 908   1]], shape=(1, 51), dtype=int32)","tf.Tensor([[ 3 35  1]], shape=(1, 3), dtype=int32)","tf.Tensor(
[[ 9771  2798 10361  2103     7    24   633    13   112   803    33 24184
     24    70   885 12867    33    16   128   194   315     5   366     3
  21360   865    79  1452  1727  2130     6    38    79   177    63   762
     42   143    50   526 10553     7     5   282     8 24281    52     7
    993    16   381    79   582    72   539    11  2798 10361     6   113
     65    57   230 16903    46 13090     3    31    60  4687   297    31
      6 14529     7    24     3    88    11   112   803   398  6754    42
   5696     8   337 15126     5     1]], shape=(1, 90), dtype=int32)",15.434000015258787,"tf.Tensor(
[[784   3  31 412   3  29   3  23   3  17   3  15   3  26 180   3  17   3
    9   3  17   3  15   3   7   3  32   3  89  71   3  51   3  15   3  52
    3  23   3  75   3   9   3  31   3 908   1]], shape=(1, 47), dtype=int32)",1978,116.0,"tf.Tensor(
[[ 784    3   31  262    3   29    3  122    3   40    3   23    3    7
     3  107    3   31    3    6    3   31  377    3   52    3    9    3
    29    3 8970    3    9    3   23    3    7    3   31    3  908    1]], shape=(1, 42), dtype=int32)","tf.Tensor([[4195   91   55  328  129   25  298   25   31   60 9182   55    1]], shape=(1, 13), dtype=int32)",7.199999809265137,879.0
"tf.Tensor([[   37 30523  9383   109     1]], shape=(1, 5), dtype=int32)",0,"tf.Tensor(
[[784   3  31 205   3  52   3  23   3  51   3  15   3  31   3   6   3  31
  309   3  52   3   9   3  51   3   9   3  31   3 908   1]], shape=(1, 32), dtype=int32)","tf.Tensor([[ 3 35  1]], shape=(1, 3), dtype=int32)","tf.Tensor(
[[11757 17782    26    45  5714     6 13660 26647    96  4135    75   121
      3 24767   537 28557    49     6    28  3135    45   901    32 20547
   3967   935   362     6     3     9     3  2771    32  5100  6297     6
   7479     7     3     9   422   563    13 11774  4336     7   544    16
      8 22576    21     3     9   600 21863     3    88   343     5     1]], shape=(1, 60), dtype=int32)",11.204999923706056,"tf.Tensor(
[[784   3  31 412   3  29   3  23   3  17   3  15   3  26 180   3  17   3
    9   3  17   3  15   3   7   3  32   3  89  71   3  51   3  15   3  52
    3  23   3  75   3   9   3  31   3 908   1]], shape=(1, 47), dtype=int32)",1950,112.0,"tf.Tensor(
[[784   3  31 262   3  29   3 122   3  40   3  23   3   7   3 107   3  31
    3 908   1]], shape=(1, 21), dtype=int32)","tf.Tensor([[  37  896 3526    8  896    1]], shape=(1, 6), dtype=int32)",7.545000076293945,397.0
"tf.Tensor([[ 707 1273   63  265  204    1]], shape=(1, 6), dtype=int32)",1,"tf.Tensor(
[[784   3  31 205   3  52   3  23   3  51   3  15   3  31   3   6   3  31
  332   3 107   3  52   3  23   3  40   3  40   3  15   3  52   3  31   3
    6   3  31 309   3  52   3   9   3  51   3   9   3  31   3   6   3  31
  283   3  63   3   7   3  17   3  15   3  52   3  63   3  31   3 908   1]], shape=(1, 72), dtype=int32)","tf.Tensor([[7102    1]], shape=(1, 2), dtype=int32)","tf.Tensor(
[[  489   203   227     8   495  1341    12  1813  1191    63  5158   122
      9   106  4031    11   112   384    47  3168     6     3     9   939
     13  7544   984   830  2827    12   659    24 20143     7    12   483
    762    21     8  5158   122     9   106  4031     7     5  1072  1813
   1191    63  1097   112   384    48    97    58     1]], shape=(1, 57), dtype=int32)",8.199999809265137,"tf.Tensor([[784   3  31  27   3  29   3  26   3  23   3   9   3  31   3 908   1]], shape=(1, 17), dtype=int32)",2022,142.0,"tf.Tensor(
[[784   3  31   3   2   3   2   3   2   3   2   3   2   3   2   3  31   3
  908   1]], shape=(1, 20), dtype=int32)","tf.Tensor([[1]], shape=(1, 1), dtype=int32)",8.013999938964844,36.0
"tf.Tensor([[ 1880    77 12807    31     7  6792     1]], shape=(1, 7), dtype=int32)",0,"tf.Tensor(
[[784   3  31 309   3  52   3   9   3  51   3   9   3  31   3   6   3  31
  454   3  23   3   7   3  17   3  32   3  52   3  63   3  31   3   6   3
   31 549   3   9   3  52   3  31   3 908   1]], shape=(1, 47), dtype=int32)","tf.Tensor([[ 3 35  1]], shape=(1, 3), dtype=int32)","tf.Tensor(
[[   37  1176   733    13   149   268   348   411     7  4031  1880    77
  12807  6024   147     3     9  7863  6692  1342    45     8 17562     7
    298    79  1279    38 15484     7    16   112  6291   383  1150  1602
   2466     5     1]], shape=(1, 39), dtype=int32)",49.20800018310547,"tf.Tensor(
[[784   3  31 412   3  29   3  23   3  17   3  15   3  26 180   3  17   3
    9   3  17   3  15   3   7   3  32   3  89  71   3  51   3  15   3  52
    3  23   3  75   3   9   3  31   3 908   1]], shape=(1, 47), dtype=int32)",1993,195.0,"tf.Tensor(
[[784   3  31 309   3  15   3  76   3  17   3   7   3  75   3 107   3  31
    3   6   3  31 276   3  32   3  40   3   7   3 157   3  23   3  31   3
    6   3  31   3   2   3   2   3   2   3   2   3   2   3   2   3   2   3
    2   3  31   3   6   3  31 262   3  29   3 122   3  40   3  23   3   7
    3 107   3  31   3 908   1]], shape=(1, 79), dtype=int32)","tf.Tensor([[2645 3258 1097    7   80  280    6 1097    7    8  296 1297    5    1]], shape=(1, 14), dtype=int32)",8.569000244140625,14036.0
